station_name,street_address,city,state,zip,ev_connector_types,ev_level1_evse_num,ev_level2_evse_num,ev_dc_fast_count,access_days_time,status_code,station_phone,ev_network,latitude,longitude
Fairmont Olympic Hotel - Seattle - Tesla Destination,411 University St,Seattle,WA,98101,J1772;TESLA,0,7,0,,E,877-798-3752,Tesla Destination,47.608197,-122.334028
Residence Inn by Marriott Seattle University Distric - Tesla Destination,4501 12th Ave NE,Seattle,WA,98105,TESLA,0,2,0,,E,877-798-3752,Tesla Destination,47.661869,-122.315415
Hampton Inn and Suites Seattle-Downtown - Tesla Destination,500 5th Ave N,Seattle,WA,98109,TESLA,0,2,0,,E,877-798-3752,Tesla Destination,47.625675,-122.346886
Four Points by Sheraton Downtown Seattle Center - Tesla Destination,601 Roy St,Seattle,WA,98109,TESLA,0,2,0,,E,877-798-3752,Tesla Destination,47.625378,-122.344596
Hotel Max - Tesla Destination,620 Stewart St,Seattle,WA,98101,TESLA,0,1,0,,E,877-798-3752,Tesla Destination,47.614141,-122.336357
Shafer Baillie Mansion Bed & Breakfast - Tesla Destination,907 14th Ave E,Seattle,WA,98112,TESLA,0,1,0,,E,877-798-3752,Tesla Destination,47.627047,-122.314961
Four Seasons Hotel Seattle - Tesla Destination,99 Union St,Seattle,WA,98101,TESLA,0,2,0,,E,877-798-3752,Tesla Destination,47.607651,-122.339418
ALLEN INSTITUTE SOUTH,615 Westlake Ave N,Seattle,WA,98109,J1772,0,2,0,24 hours daily,E,888-758-4389,ChargePoint Network,47.625077,-122.339032
T-MOBILE PARK GRIFFEY,1518 1st Ave S,Seattle,WA,98134,J1772,0,1,0,24 hours daily,E,888-758-4389,ChargePoint Network,47.589593,-122.332945
Washington Athletic Club Garage - Tesla Destination,1325 6th Ave,Seattle,WA,98101,J1772;TESLA,0,5,0,,E,877-798-3752,Tesla Destination,47.609629,-122.333133
188 BLAINE ATRIUM4,1818 Fairview Ave East,Seattle,WA,98102,J1772,0,2,0,24 hours daily,E,888-758-4389,ChargePoint Network,47.635213,-122.325845
188 BLAINE ATRIUM3,1823 Eastlake Ave E,Seattle,WA,98102,J1772,0,2,0,24 hours daily,E,888-758-4389,ChargePoint Network,47.635119,-122.325866
VIDA APARTMENTS VIDA 1,1205 NE 66th ST,Seattle,WA,98115,J1772,0,2,0,24 hours daily,E,888-758-4389,ChargePoint Network,47.678055,-122.314119
Broadway Market,401 Broadway E,Seattle,WA,98102,J1772,0,2,0,Mon: 6:00am-11:59pm; Tue: 6:00am-11:59pm; Wed: 6:00am-11:59pm; Thu: 6:00am-11:59pm; Fri: 6:00am-11:59pm; Sat: 6:00am-11:59pm; Sun: 6:00am-11:59pm,E,855-900-7584,SHELL_RECHARGE,47.622517,-122.321407
Safeway 7300 Roosevelt Way Ne,7300 Roosevelt Way Ne,Seattle,WA,98115,J1772,0,2,0,Mon: 6:00am-11:59pm; Tue: 6:00am-11:59pm; Wed: 6:00am-11:59pm; Thu: 6:00am-11:59pm; Fri: 6:00am-11:59pm; Sat: 6:00am-11:59pm; Sun: 6:00am-11:59pm,E,855-900-7584,SHELL_RECHARGE,47.682581,-122.317165
AMC Loews Oak Tree 6,10006 Aurora Ave N,Seattle,WA,98133,J1772,0,2,0,Mon: 6:00am-11:59pm; Tue: 6:00am-11:59pm; Wed: 6:00am-11:59pm; Thu: 6:00am-11:59pm; Fri: 6:00am-11:59pm; Sat: 6:00am-11:59pm; Sun: 6:00am-11:59pm,E,855-900-7584,SHELL_RECHARGE,47.701876,-122.343075
Simon Northgate Mall,401 NE Northgate Way,Seattle,WA,98125,J1772;J1772COMBO,0,1,3,24 hours daily,E,833-632-2778,Electrify America,47.70846,-122.32489
KW RADIUS RADIUS 1,400 Boren Ave N,Seattle,WA,98109,J1772,0,2,0,24 hours daily,E,888-758-4389,ChargePoint Network,47.622575,-122.335481
The Commons at Ballard,"5621 22nd Avenue, NW",Seattle,WA,98107,J1772,0,4,0,24 hours daily,E,888-998-2546,Blink Network,47.6699634,-122.3847489
Amelia / Sea76,501 Fairview Avenue North,Seattle,WA,98109,J1772,0,6,0,24 hours daily,E,888-998-2546,Blink Network,47.6233435,-122.334684
Troy Block,300 Boren Avenue North,Seattle,WA,98109,J1772,0,8,0,24 hours daily,E,888-998-2546,Blink Network,47.6211672,-122.3354501
Hill 7 Station,1099 Stewart Street,Seattle,WA,98101,J1772,0,7,0,24 hours daily,E,888-998-2546,Blink Network,47.6164918,-122.3324879
531628  2201 Westlake,2201 Westlake Avenue,Seattle,WA,98109,J1772,0,6,0,24 hours daily,E,888-998-2546,Blink Network,47.61809006,-122.33892
531622  818 Stewart Street Holdco LLC,818 Stewart Street,Seattle,WA,98101,J1772,0,6,0,24 hours daily,E,888-998-2546,Blink Network,47.6156458,-122.3350555
818 Stewart Street Holdco LLC,818 Stewart Street,Seattle,WA,98101,J1772,0,4,0,24 hours daily,E,888-998-2546,Blink Network,47.6156458,-122.3350555
531604  600 Broadway,600 Broadway,Seattle,WA,98122,J1772,0,6,0,24 hours daily,E,888-998-2546,Blink Network,47.6078691,-122.3196562
1201 Third,1201 Third Avenue,Seattle,WA,98101,J1772,0,4,0,24 hours daily,E,888-998-2546,Blink Network,47.6072826,-122.3360929
Second and Seneca Tower,1191 2nd Avenue,Seattle,WA,98101,J1772,0,4,0,24 hours daily,E,888-998-2546,Blink Network,47.6060061,-122.336716
Union Station Parking Garage (#USPG),550 4th Avenue South,Seattle,WA,98134,J1772,0,4,0,24 hours daily,E,888-998-2546,Blink Network,47.5975078,-122.328595
Slalom Hawk Tower,255 S. King Street,Seattle,WA,98104,J1772,0,8,0,24 hours daily,E,888-998-2546,Blink Network,47.5980919,-122.3309701
531610 Stadium Innovation Center,1531 Utah Avenue South,Seattle,WA,98134,J1772,0,6,0,24 hours daily,E,888-998-2546,Blink Network,47.5892477,-122.3358112
Union Square - Tesla Supercharger,601 Union Street,Seattle,WA,98101,TESLA,0,0,10,6am-12am daily. Please check Tesla's online station map to see if an adapter is required at this location.,E,877-798-3752,Tesla,47.610024,-122.332078
CITY LIGHT SOUTH SERVICE 1,409 South Spokane Street,Seattle,WA,98134,CHADEMO;J1772COMBO,0,0,1,24 hours daily,E,888-758-4389,ChargePoint Network,47.57121,-122.328762
DUAL EV STATION 5,2520 NE University Village St,Seattle,WA,98105,J1772,0,2,0,24 hours daily,E,888-758-4389,ChargePoint Network,47.663902,-122.300245
"Seattle, WA - Union Street (Wall Connector) - Tesla Destination",601 Union St,Seattle,WA,98101,J1772;TESLA,0,10,0,,E,877-798-3752,Tesla Destination,47.610142,-122.331887
Safeway 35th Ave NE,7340 35Th Ave Ne,Seattle,WA,98115,J1772,0,2,0,Mon: 6:00am-11:59pm; Tue: 6:00am-11:59pm; Wed: 6:00am-11:59pm; Thu: 6:00am-11:59pm; Fri: 6:00am-11:59pm; Sat: 6:00am-11:59pm; Sun: 6:00am-11:59pm,E,855-900-7584,SHELL_RECHARGE,47.682638,-122.289885
Port of Seattle - Shilshole Bay Marina North Lot,"7001 Seaview Ave, NW #100",Seattle,WA,98117,J1772,0,4,0,24 hours daily,E,888-998-2546,Blink Network,47.68080494,-122.4048611
531611  Amazon Phase VI - Bigness,515 Westlake Avenue North,Seattle,WA,98109,J1772,0,10,0,24 hours daily,E,888-998-2546,Blink Network,47.6241877,-122.3386584
Bigness,515 Westlake Avenue North,Seattle,WA,98109,J1772,0,9,0,24 hours daily,E,888-998-2546,Blink Network,47.6241877,-122.3386584
531618  Sidneysea LLC - Brazil,400 9th Avenue North,Seattle,WA,98109,J1772,0,4,0,24 hours daily,E,888-998-2546,Blink Network,47.6228746,-122.3394194
Apollo Eight LLC,325 9th Ave N,Seattle,WA,98104,J1772,0,3,0,24 hours daily,E,888-998-2546,Blink Network,47.6039634,-122.3241159
CON PL PA WASHBAY,2125 1st Ave,Seattle,WA,98121,J1772,0,2,0,24 hours daily,E,888-758-4389,ChargePoint Network,47.6122,-122.345117
BROADWAY BLDG STATION 1,1641 Nagle Pl,Seattle,WA,98122,J1772,0,2,0,24 hours daily,E,888-758-4389,ChargePoint Network,47.616001,-122.32028
600NINTH 600NINTH,600 9th Ave,Seattle,WA,98104,J1772,0,2,0,24 hours daily,E,888-758-4389,ChargePoint Network,47.605888,-122.324733
University of Washington - Husky Stadium,3800 Montlake Blvd NE,Seattle,WA,98195,J1772,0,2,0,24 hours daily; UW permit required 6am to 9pm M-F and 7am-12pm on Saturdays; 2 hour time limit,E,206-221-3701,Non-Networked,47.648934,-122.302389
University of Washington - Parking Area S1,3500 Columbia Rd,Seattle,WA,98195,J1772,0,1,0,24 hours daily; UW permit required; 2 hour time limit,E,206-221-3701,Non-Networked,47.650072,-122.310852
University of Washington - Portage Bay Garage,3740 Brooklyn Ave NE,Seattle,WA,98105,J1772,0,4,0,24 hours daily; UW permit required; 2 hour time limit,E,206-221-3701,Non-Networked,47.653047,-122.313915
University of Washington - Central Plaza Garage,4100 15th Ave NE,Seattle,WA,98105,J1772,0,5,0,24 hours daily; UW permit required; 2 hour time limit,E,206-221-3701,Non-Networked,47.656832,-122.311626
University of Washington - Parking Area N2,4224 Memorial Way NE,Seattle,WA,98105,J1772,0,1,0,24 hours daily; UW permit required; 2 hour time limit,E,206-221-3701,Non-Networked,47.658987,-122.309214
University of Washington - Parking Area N5,4324 Memorial Way NE,Seattle,WA,98105,J1772,0,1,0,24 hours daily; parking permit required; 2 hour time limit,E,206-221-3701,Non-Networked,47.660311,-122.309086
University of Washington - Parking Area W46,4317 12th Ave NE,Seattle,WA,98105,J1772,0,2,0,24 hours daily; UW permit required; 2 hour time limit,E,206-221-3701,Non-Networked,47.660696,-122.315595
VBG Seattle,901 Fifth Ave,Seattle,WA,98164,J1772,0,2,0,24 hours daily,E,888-998-2546,Blink Network,47.60578,-122.331858
KC AIRPORT KC AIRPORT 2,7259 King County Airport Access Rd,Seattle,WA,98108,J1772,0,2,0,24 hours daily,E,888-758-4389,ChargePoint Network,47.536812,-122.303923
KING COUNTY DES KC FAUNTLEROY3,4829 SW Barton St,Seattle,WA,98136,J1772,0,1,0,24 hours daily,E,888-758-4389,ChargePoint Network,47.523218,-122.393376
KING COUNTY DES KC FAUNTLEROY2,4829 SW Barton St,Seattle,WA,98136,J1772,0,2,0,24 hours daily,E,888-758-4389,ChargePoint Network,47.523056,-122.395735
INSIGNIA 953 150 151N,583 Battery St,Seattle,WA,98164,J1772,0,2,0,24 hours daily,E,888-758-4389,ChargePoint Network,47.606202,-122.33208
INSIGNIA 953 144 145N,583 Battery St,Seattle,WA,98104,J1772,0,2,0,24 hours daily,E,888-758-4389,ChargePoint Network,47.606184,-122.332135
Tellus on Dexter Apartments,403 Dexter Ave N.,Seattle,WA,98109,J1772,0,4,0,24 hours daily,E,888-998-2546,Blink Network,47.622505,-122.34279
CITY LIGHT WEST SEATTLE 1,4535 39th Avenue Southwest,Seattle,WA,98116,CHADEMO;J1772COMBO,0,0,1,24 hours daily,E,888-758-4389,ChargePoint Network,47.562261,-122.381633
2+U - Tesla Supercharger,1201 Second Avenue,Seattle,WA,98101,TESLA,0,0,4,24 hours daily. Please check Tesla's online station map to see if an adapter is required at this location.,E,877-798-3752,Tesla,47.606601,-122.337495
"Rainier Beach WA3-155 ( Seattle, WA)",9019 RAINIER AVE S,Seattle,WA,98118,CHADEMO;J1772COMBO,0,0,4,24 hours daily,E,833-632-2778,Electrify America,47.52317,-122.27056
Ballard Blocks - Tesla Supercharger,1416 NW Ballard Way,Seattle,WA,98107,TESLA,0,0,8,24 hours daily. Please check Tesla's online station map to see if an adapter is required at this location.,E,877-798-3752,Tesla,47.662554,-122.37504
2+U,1201 Second Ave,Seattle,WA,98101,J1772,0,10,0,5am-6pm daily,E,206-706-9600,Non-Networked,47.606659,-122.337363
SAFECO PLAZA SAFECO PLAZA #2,1001 4th Ave Safeco Plaza,Seattle,WA,98154,J1772,0,2,0,24 hours daily,E,888-758-4389,ChargePoint Network,47.606218,-122.333842
400 DEXTER AVE 400 DEXTER #2,400 Dexter Ave N,Seattle,WA,98109,J1772,0,2,0,24 hours daily,E,888-758-4389,ChargePoint Network,47.622329,-122.342153
VM CHARGERS VIRGINIA MASON3,1012 Terry Ave,Seattle,WA,98101,J1772,0,1,0,24 hours daily,E,888-758-4389,ChargePoint Network,47.609553,-122.326337
VM CHARGERS VIRGINIA MASON1,1012 Terry Ave,Seattle,WA,98101,J1772,0,1,0,24 hours daily,E,888-758-4389,ChargePoint Network,47.609501,-122.326457
MADISON GARAGE MADISON GARAGE1,1229 Madison St,Seattle,WA,98104,J1772,0,2,0,24 hours daily,E,888-758-4389,ChargePoint Network,47.61008,-122.322151
INSIGNIA 953 97 98,588 Bell St,Seattle,WA,98121,J1772,0,2,0,24 hours daily,E,888-758-4389,ChargePoint Network,47.616729,-122.342786
INSIGNIA 953 214 215,588 Bell St,Seattle,WA,98121,J1772,0,2,0,24 hours daily,E,888-758-4389,ChargePoint Network,47.616629,-122.342611
INSIGNIA 953 136 137,588 Bell St,Seattle,WA,98121,J1772,0,2,0,24 hours daily,E,888-758-4389,ChargePoint Network,47.616703,-122.342746
INSIGNIA 953 95 96,588 Bell St,Seattle,WA,98121,J1772,0,2,0,24 hours daily,E,888-758-4389,ChargePoint Network,47.616701,-122.342813
INSIGNIA 953 134 135,588 Bell St,Seattle,WA,98121,J1772,0,2,0,24 hours daily,E,888-758-4389,ChargePoint Network,47.616676,-122.342772
INSIGNIA 953 180 181,588 Bell St,Seattle,WA,98121,J1772,0,2,0,24 hours daily,E,888-758-4389,ChargePoint Network,47.616608,-122.342771
INSIGNIA 953 174 175,588 Bell St,Seattle,WA,98121,J1772,0,2,0,24 hours daily,E,888-758-4389,ChargePoint Network,47.616642,-122.34273
INSIGNIA 953 142 143,588 Bell St,Seattle,WA,98121,J1772,0,2,0,24 hours daily,E,888-758-4389,ChargePoint Network,47.616646,-122.3428
INSIGNIA 953 178 179,588 Bell St,Seattle,WA,98121,J1772,0,2,0,24 hours daily,E,888-758-4389,ChargePoint Network,47.61659,-122.342801
INSIGNIA 953 212 213,588 Bell St,Seattle,WA,98121,J1772,0,2,0,24 hours daily,E,888-758-4389,ChargePoint Network,47.616588,-122.342651
INSIGNIA 953 218 219,588 Bell St,Seattle,WA,98121,J1772,0,2,0,24 hours daily,E,888-758-4389,ChargePoint Network,47.616537,-122.342701
INSIGNIA 953 140 141,588 Bell St,Seattle,WA,98121,J1772,0,2,0,24 hours daily,E,888-758-4389,ChargePoint Network,47.616616,-122.342831
INSIGNIA 953 103 104,588 Bell St,Seattle,WA,98121,J1772,0,2,0,24 hours daily,E,888-758-4389,ChargePoint Network,47.616679,-122.342837
INSIGNIA 953 101 102,588 Bell St,Seattle,WA,98121,J1772,0,2,0,24 hours daily,E,888-758-4389,ChargePoint Network,47.616655,-122.34286
KING COUNTY DES KSC STATION #6,201 S Jackson St,Seattle,WA,98104,J1772,0,1,0,24 hours daily,E,888-758-4389,ChargePoint Network,47.598754,-122.331002
KING COUNTY DES KSC STATION #7,201 S Jackson St,Seattle,WA,98104,J1772,0,1,0,24 hours daily,E,888-758-4389,ChargePoint Network,47.598758,-122.330972
KING COUNTY DES KSC STATION #3,201 S Jackson St,Seattle,WA,98104,J1772,0,1,0,24 hours daily,E,888-758-4389,ChargePoint Network,47.59856,-122.330929
KING COUNTY DES KSC STATION #2,201 S Jackson St,Seattle,WA,98104,J1772,0,1,0,24 hours daily,E,888-758-4389,ChargePoint Network,47.59855,-122.331009
KING COUNTY DES KSC STATION #4,201 S Jackson St,Seattle,WA,98104,J1772,0,1,0,24 hours daily,E,888-758-4389,ChargePoint Network,47.598665,-122.330941
DC CORRIDOR SEAHAWK 12D,338 Weller St Bridge,Seattle,WA,98134,CHADEMO;J1772COMBO,0,0,1,24 hours daily,E,888-758-4389,ChargePoint Network,47.597048,-122.330451
DC CORRIDOR SEAHAWK 12C,338 Weller St Bridge,Seattle,WA,98134,CHADEMO;J1772COMBO,0,0,1,24 hours daily,E,888-758-4389,ChargePoint Network,47.597218,-122.330446
1101 WESTLAKE WESTLAKE 1,1101 Westlake Ave N,Seattle,WA,98109,J1772,0,2,0,24 hours daily,E,888-758-4389,ChargePoint Network,47.628886,-122.341407
UWMC SURGERY STATION 1,1959 NE Pacific St,Seattle,WA,98195,J1772,0,2,0,24 hours daily,E,888-758-4389,ChargePoint Network,47.64991,-122.307373
BMGF P1 STATION 1,500 5th Ave N,Seattle,WA,98109,J1772,0,2,0,24 hours daily,E,888-758-4389,ChargePoint Network,47.623464,-122.345818
INSIGNIA 953 190 191N,583 Battery St,Seattle,WA,98121,J1772,0,2,0,24 hours daily,E,888-758-4389,ChargePoint Network,47.616928,-122.343611
T-MOBILE PARK ICHIRO,1518 1st Ave S,Seattle,WA,98134,J1772,0,1,0,24 hours daily,E,888-758-4389,ChargePoint Network,47.589652,-122.332938
T-MOBILE PARK FELIX,1518 1st Ave S,Seattle,WA,98134,J1772,0,1,0,24 hours daily,E,888-758-4389,ChargePoint Network,47.589803,-122.332999
T-MOBILE PARK EDGAR,1518 1st Ave S,Seattle,WA,98134,J1772,0,1,0,24 hours daily,E,888-758-4389,ChargePoint Network,47.589701,-122.332937
188 BLAINE ATRIUM2,1818 Fairview Ave East,Seattle,WA,98102,J1772,0,2,0,24 hours daily,E,888-758-4389,ChargePoint Network,47.635115,-122.325799
DUAL EV STATION 3,2520 NE University Village St,Seattle,WA,98105,J1772,0,2,0,24 hours daily,E,888-758-4389,ChargePoint Network,47.66392,-122.300272
DUAL EV STATION 4,2520 NE University Village St,Seattle,WA,98105,J1772,0,2,0,24 hours daily,E,888-758-4389,ChargePoint Network,47.663931,-122.300224
DUAL EV STATION 2,2520 NE University Village St,Seattle,WA,98105,J1772,0,2,0,24 hours daily,E,888-758-4389,ChargePoint Network,47.663935,-122.300285
DUAL EV STATION 1,2520 NE University Village St,Seattle,WA,98105,J1772,0,2,0,24 hours daily,E,888-758-4389,ChargePoint Network,47.663975,-122.300272
KC AIRPORT KC AIRPORT 1,7259 King County Airport Access Rd,Seattle,WA,98108,J1772,0,2,0,24 hours daily,E,888-758-4389,ChargePoint Network,47.53681,-122.303923
INSIGNIA 953 146 147N,583 Battery St,Seattle,WA,98164,J1772,0,2,0,24 hours daily,E,888-758-4389,ChargePoint Network,47.606191,-122.3321
INSIGNIA 953 228 229N,583 Battery St,Seattle,WA,98164,J1772,0,2,0,24 hours daily,E,888-758-4389,ChargePoint Network,47.606129,-122.332106
INSIGNIA 953 192 193N,583 Battery St,Seattle,WA,98164,J1772,0,2,0,24 hours daily,E,888-758-4389,ChargePoint Network,47.606171,-122.332083
INSIGNIA 953 152 153N,583 Battery St,Seattle,WA,98164,J1772,0,2,0,24 hours daily,E,888-758-4389,ChargePoint Network,47.606211,-122.332055
INSIGNIA 953 226 227N,583 Battery St,Seattle,WA,98164,J1772,0,2,0,24 hours daily,E,888-758-4389,ChargePoint Network,47.606119,-122.332135
INSIGNIA 953 186 187N,583 Battery St,Seattle,WA,98164,J1772,0,2,0,24 hours daily,E,888-758-4389,ChargePoint Network,47.60614,-122.332163
INSIGNIA 953 232 233N,583 Battery St,Seattle,WA,98164,J1772,0,2,0,24 hours daily,E,888-758-4389,ChargePoint Network,47.606148,-122.332065
INSIGNIA 953 234N,583 Battery St,Seattle,WA,98164,J1772,0,1,0,24 hours daily,E,888-758-4389,ChargePoint Network,47.606155,-122.332037
INSIGNIA 953 185N,583 Battery St,Seattle,WA,98164,J1772,0,1,0,24 hours daily,E,888-758-4389,ChargePoint Network,47.606126,-122.332195
INSIGNIA 953 194N,583 Battery St,Seattle,WA,98164,J1772,0,1,0,24 hours daily,E,888-758-4389,ChargePoint Network,47.606182,-122.33206
INSIGNIA 953 225N,583 Battery St,Seattle,WA,98164,J1772,0,1,0,24 hours daily,E,888-758-4389,ChargePoint Network,47.606111,-122.332163
INSIGNIA 953 143N,583 Battery St,Seattle,WA,98104,J1772,0,1,0,24 hours daily,E,888-758-4389,ChargePoint Network,47.606162,-122.332173
INSIGNIA 953 188 189N,583 Battery St,Seattle,WA,98104,J1772,0,2,0,24 hours daily,E,888-758-4389,ChargePoint Network,47.606153,-122.332134
188 BLAINE ATRIUM #1,1818 Fairview Ave East,Seattle,WA,98102,J1772,0,2,0,24 hours daily,E,888-758-4389,ChargePoint Network,47.635108,-122.325721
ALLEN INSTITUTE NORTH,615 Westlake Ave N,Seattle,WA,98109,J1772,0,2,0,24 hours daily,E,888-758-4389,ChargePoint Network,47.625256,-122.339032
Northgate Mall - Tesla Supercharger,401 NE Northgate Way,Seattle,WA,98125,TESLA,0,0,16,24 hours daily. Please check Tesla's online station map to see if an adapter is required at this location.,E,877-798-3752,Tesla,47.706589,-122.327778
"Madison Pike WA3-141 ( Seattle, WA)",1300 E MADISON ST,Seattle,WA,98122,J1772COMBO,0,0,4,24 hours daily,E,833-632-2778,Electrify America,47.61388,-122.31477
